wordlist,wordlist (stemming),wordlist (spacy),wordlist (HanoverTagger)
Schnelltest,schnelltest,ffp2-maske,schnellen
Kontaktzahlen,kontaktzahlen,schnellen,kontaktzahl
Coronapandemie,coronapandemi,kontaktzahlen,coronapandemie
BioNtech,biontech,coronapandemie,biontech
Überbrückungshilfe,überbrückungshilf,biontech,überbrückungshilfe
Coronatest,coronatest,überbrückungshilfe,coronatest
Impfzwang,impfzwang,coronatest,impfzwang
Ausschankverbot,ausschankverbot,impfzwang,ausschankverbot
Ermächtigungsgesetz,ermächtigungsgesetz,ausschankverbot,ermächtigungsgesetz
Coronaleugner,coronaleugn,ermächtigungsgesetz,coronaleugner
Coronaleugnerin,coronaleugnerin,coronaleugner,coronaleugnerin
Quarantänebrecher,quarantänebrech,coronaleugnerin,quarantänebrecher
Infektionsschutzgesetz,infektionsschutzgesetz,quarantänebrecher,infektionsschutzgesetz
Corona-Regeln,corona-regeln,infektionsschutzgesetz,corona-regeln
Corona-Bonus,corona-bonu,corona-regeln,corona-bonus
Kontakt-Eindämmung,kontakt-eindämmung,corona-bonus,kontakt-eindämmung
Intensivstation,intensivst,kontakt-eindämmung,intensivstation
Antigen-Schnelltest,antigen-schnelltest,intensivstation,antigen-schnelltest
SARSCoV2,sarscov2,antigen-schnelltest,sarscov2
Verschwörungstheorie,verschwörungstheori,sarscov2,verschwörungstheorie
Robert Koch Institut,robert koch institut,verschwörungstheorie,robert koch institut
#Lockdown,#lockdown,robert,#lockdown
#Corona,#corona,koch,#corona
#LockdownJetzt,#lockdownjetzt,institut,#lockdownjetzt
#Ausgangssperre,#ausgangssperr,#,#ausgangssperre
#Lockdown2,#lockdown2,lockdown,#lockdown2
#Masken,#masken,#,#masken
#Bevoelkerungsschutzgesetz,#bevoelkerungsschutzgesetz,corona,#bevoelkerungsschutzgesetz
#PCR,#pcr,#,#pcr
#Covid19de,#covid19d,lockdownjetzt,#covid19de
#Covid2019,#covid2019,#,#covid2019
#coronadeutschland,#coronadeutschland,ausgangssperre,#coronadeutschland
#Covid19,#covid19,#,#covid19
#Pandemie,#pandemi,lockdown2,#pandemie
#coronavirus,#coronaviru,#,#coronavirus
#Coronavirusdeutschland,#coronavirusdeutschland,masken,#coronavirusdeutschland
#CoronaVirusDE,#coronavirusd,#,#coronavirusde
#COVIDー19 ,#covidー19 ,bevoelkerungsschutzgesetz,#covidー19 
#Covid_19,#covid_19,#,#covid_19
#ChinaVirus,#chinaviru,pcr,#chinavirus
#WellenbrecherShutdown ,#wellenbrechershutdown ,#,#wellenbrechershutdown 
#LongCovid,#longcovid,covid19de,#longcovid
#Coronahilfen,#coronahilfen,#,#coronahilfen
#Shutdown,#shutdown,covid2019,#shutdown
#Coronakrise,#coronakris,#,#coronakrise
#Soforthilfen,#soforthilfen,coronadeutschland,#soforthilfen
#CoronaBlog,#coronablog,#,#coronablog
#Coronaopfer,#coronaopf,covid19,#coronaopfer
#CoronaPandemie,#coronapandemi,#,#coronapandemie
#SocialDistancing,#socialdistanc,pandemie,#socialdistancing
#Covid19,#covid19,#,#covid19
#AHAFormel,#ahaformel,coronavirus,#ahaformel
