name,screen_name,party,total_tweets,covid_tweets
"Chrupalla, Tino",Tino_Chrupalla,AfD,308,87
"Droese, Siegbert",Siegbert_Droese,AfD,0,0
"Dürr, Christian",christianduerr,FDP,377,56
"Ebbing, Hartmut",HartmutEbbing,FDP,161,38
"Ehrhorn, Thomas",Thomas_Ehrhorn,AfD,24,0
"Elsner von Gronow, Berengar",ElsnervonGronow,AfD,138,18
"Erndl, Thomas",TErndl,CSU,174,22
"Espendiller, Dr. Michael",DrMEspendiller,AfD,653,88
"Faber, Dr. Marcus",MarcusFaber,FDP,323,31
"Felser, Peter",PeterFelser,AfD,184,48
"Schmidt, Stefan",Schmidt_MdB,Bündnis 90/Die Grünen,88,4
"Föst, Daniel",DFoest,FDP,1566,185
"Fricke, Otto",Otto_Fricke,FDP,2075,66
"Friesen, Dr. Anton",DrFriesenMdB,AfD,407,113
"Frohnmaier, Markus",Frohnmaier_AfD,AfD,154,24
"Frömming, Dr. Götz",GtzFrmming,AfD,1884,268
"Gabelmann, Sylvia",SylviaGabelmann,Die Linke,134,43
"Gehrke, Dr. Axel",axelgehrke,AfD,5,2
"Gelbhaar, Stefan",StefanGelbhaar,Bündnis 90/Die Grünen,780,51
"Gottberg, Wilhelm von",vonGottberg_AfD,AfD,0,0
"Gottschalk, Kay",KayGottschalk1,AfD,199,16
"Gremmels, Timon",Timon_Gremmels,SPD,809,91
"Jensen, Gyde",GydeJ,FDP,542,71
"Hacker, Thomas",hacker_fdp,FDP,210,44
"Hagl-Kehl, Rita",RitaHaglKehl,SPD,4,2
"Harder-Kühnel, Mariana",M_HarderKuehnel,AfD,76,8
"Hartwig, Dr. Roland",R_Hartwig_AfD,AfD,147,10
"Haug, Jochen",Jochen_Haug,AfD,4,1
"Helling-Plahr, Katrin",KatrinHelling,FDP,265,30
"Hemmelgarn, Udo",UdoHemmelgarn,AfD,1173,319
"Henrichmann, Marc",MarcHenrichmann,CDU,236,56
"Herbst, Torsten",torstenherbst,FDP,436,116
"Herdt, Waldemar",WaldemarHerdt,AfD,0,0
"Herrmann, Lars",hermiworld,AfD,14,1
"Hess, Martin",Martin_Hess_AfD,AfD,234,29
"Hessel, Katja",fdp_hessel,FDP,75,19
"Höchst, Nicole",Nicole_Hoechst,AfD,160,32
